Regions,GN_GS,primary_data_type,primary_data_type_category,primary_dataset_source,primary_data_ownership,reference_comparison_dataset,reference_data_category,reference_ownership_broader,measurement_approach,direct_indirect_measure,method_of_inequality_measure,author and title
Poland,GN,"Multi-feature topographic / land-cover data: roads, railways, rivers, buildin...",multi-feature topographic,OpenStreetMap data from Geofabrik,Crowdsourced/VGI/open data,"BDOT10k — National Database of Topographic Objects, Poland",topographic / base map data,Government / authoritative,Dataset comparison; spatial/statistical comparison,Indirect,Completeness and accuracy ratios by county; correlation with income per capita; no formal inequality index,Borkowska and Pokonieczny - 2022 - Analysis of OpenStreetMap Data Quality for Selected Counties in Poland in Terms of Sustainable Devel.pdf
Poland,GN,Building data — building footprints / building polygons,building / settlement data,OpenStreetMap building polygons from Geofabrik,Crowdsourced/VGI/open data,BDOT10k — Polish Database of Topographic Objects,topographic / base map data,Government / authoritative,Dataset comparison; spatial/statistical comparison,Indirect,Completeness indices by 1 km² hexagonal grid; bivariate choropleth spatial comparison; no formal inequality index,Borkowska et al. - 2023 - OpenStreetMap – building data completeness visualization in terms of “Fitness for purpose”.pdf
Multiple countries,Multiple countries,Building data — building attributes / semantic building information,building / settlement data,OpenStreetMap / Planet OSM building attribute data,Crowdsourced/VGI/open data,"Google Street View, used partially for manual validation",imagery / remote sensing data,Commercial/proprietary,Intrinsic evaluation; external validation; spatial/statistical comparison,Indirect,"Attribute completeness, validity, and accuracy rates by country, administrative unit, and 1 × 1 km grid; no formal inequality index",Biljecki et al. - 2023 - Quality of crowdsourced geospatial building information A global assessment of OpenStreetMap attrib(1).pdf
Italy,GN,Building data — building footprints/building polygons,building / settlement data,"OpenStreetMap building footprints for Lombardy, Italy",Crowdsourced/VGI/open data,"Regional Topographical Database (DBT), Lombardy",topographic / base map data,Government / authoritative,Dataset comparison; reference-based comparison; spatial/statistical compariso...,Indirect,Completeness percentage; positional deviation statistics; grid-based spatial comparison; no formal inequality index,Brovelli and Zamboni - 2018 - A New Method for the Assessment of Spatial Accuracy and Completeness of OpenStreetMap Building Footp.pdf
Burundi,GS,Road network / transportation network data,transportation,OSM roads for Burundi via OSMnx/Overpass API,Crowdsourced/VGI/open data,Google Maps satellite imagery; MoH Burundi official road dataset used for vis...,mixed reference data,Multiple ownership,External validation; proxy-based assessment; spatial/statistical comparison; ...,Indirect,RMSE/NSSDA; proxy-based administrative-unit gap detection; road-density compa...RMSE/NSSDA; proxy-based administrative-unit gap detection; road-density comparison; no formal inequality index,Campalani et al. - 2023 - Assessing OpenStreetMap roads fitness-for-use for disaster risk assessment in developing countries(1).pdf
Multiple countries,Multiple countries,Commercial geospatial resource availability / geospatial data infrastructure ...,commercial geospatial resource,"Commercial data availability/quality information for geocoding, patient trave...",Commercial/proprietary,WHO mortality data; Ghana and Nigeria deprivation indicators,mixed reference data,International Organization,Direct inequality assessment; spatial/statistical comparison; composite index...,Direct,Slope Index of Inequality; Relative Concentration Index; composite geospatial resource index; correlation/regression analysis,Dotse-Gborgbortsi et al. - 2018 - A cross-sectional ecological analysis of international and sub-national health inequalities in comme(1).pdf
Brazil,GS,Road network data / road-axis line features,transportation,"OSM road-axis data for Salvador, Bahia, Brazil",Crowdsourced/VGI/open data,SICAD municipal cartographic and cadastral system of Salvador,topographic / base map data,Government / authoritative,Dataset comparison; reference-based comparison; spatial/statistical compariso...,Indirect,PEC-PCD accuracy classification; double-buffer discrepancy; length-based completeness by 1 × 1 km grid; thematic accuracy percentage; no formal inequality index,Elias et al. - 2020 - The quality of OpenStreetMap in a large metropolis in northeast Brazil Preliminary assessment of ge(1).pdf
Iran,GS,Road network data / street network line features,transportation,OSM road data for central Tehran from Cloudmade,Crowdsourced/VGI/open data,Municipality of Tehran reference map,topographic / base map data,Government / authoritative,Dataset comparison; reference-based comparison; spatial/statistical compariso...,Indirect,Grid-based uncertainty mapping; road-length completeness comparison; fuzzy integrated quality score; no formal inequality index,Forghani and Delavar - 2014 - A Quality Study of the OpenStreetMap Dataset for Tehran(1).pdf
France,GN,"Multi-feature topographic/VGI data: roads, POIs, coastline, administrative bo...",multi-feature topographic,French OSM dataset from CloudMade shapefiles,Crowdsourced/VGI/open data,BD TOPO® / RGE from IGN,topographic / base map data,Government / authoritative,Dataset comparison; reference-based comparison; spatial/statistical compariso...,Indirect,Completeness ratios; geometric distance statistics; attribute/tag completeness; semantic accuracy; topological inconsistency checks; contributor-density comparison; no formal inequality index,Girres and Touya - 2010 - Quality Assessment of the French OpenStreetMap Dataset(1).pdf
Turkey,GN,Road network data / OSM road-network line features,transportation,"OSM road data for Ankara, Turkey, 2007–2017, extracted with Osmium",Crowdsourced/VGI/open data,None,no external reference data,None,Intrinsic evaluation; temporal/evolution analysis; contributor-behavior analy...,Indirect,Temporal completeness ratio; activation density; centrality metrics; road-type and length statistics; sinuosity; no formal inequality index,"Hacar et al. - 2018 - Analyzing OpenStreetMap Road Data and Characterizing the Behavior of Contributors in Ankara, Turkey(1).pdf"
USA,GN,Infrastructure-associated point data / school POI point features,POI / facility data,OpenStreetMap school POIs; USGS OpenStreetMap Collaborative Project (OSMCP) school points,Crowdsourced/VGI/open data,Oak Ridge National Laboratory (ORNL) national school location dataset based on Department of Education lists,other reference,Government / authoritative,Dataset comparison; reference-based comparison; spatial/statistical comparison; point-feature quality assessment,Indirect,Feature matching; completeness ratios; point-distance/spatial-error measures; no formal inequality index,Jackson et al. - 2013 - Assessing Completeness and Spatial Error of Features in Volunteered Geographic Information.pdf
UAE,GS,Multi-feature OSM urban geospatial data / roads and mapped urban features,multi-feature topographic,"OpenStreetMap data for Abu Dhabi City, United Arab Emirates",Crowdsourced/VGI/open data,Official Abu Dhabi city data,topographic / base map data,Government / authoritative,Dataset comparison; reference-based comparison; spatial/statistical comparison; multi-dimensional data quality assessment,Indirect,ISO-based data quality indicators; positional accuracy standards; completeness and consistency checks; no formal inequality index,"Yagoub - 2017 - Assessment of OpenStreetMap (OSM) Data The Case of Abu Dhabi City, United Arab Emirates.pdf"
China,GS,Land-use/land-cover data / OSM-based LULC classes,land-use / land-cover,OSM-derived LULC dataset for China,Crowdsourced/VGI/open data,No full external LULC reference dataset for the main intrinsic assessment; validation used accuracy measures,no external reference data,None,Intrinsic evaluation; spatial/statistical comparison; proxy/contextual association; diversity assessment,Indirect,Completeness and diversity indicators by prefecture; correlation with socioeconomic/contributor variables; no formal inequality index,Wang et al. - 2020 - Understanding Completeness and Diversity Patterns of OSM-Based Land-Use and Land-Cover Dataset in Ch.pdf
